Russian Sour Cream Cake,Milk and milk products,Fruits
Russian Pelmeni,Baking goods,Beverages,Beverages,Baking goods,Vegetables
Russian Beet Salad with Herring,Vegetables,Vegetables
Khychin,Vegetables,Milk and milk products,Beverages,Baking goods,Milk and milk products,Milk and milk products
Sunflower Salad,Animal foods,Baking goods,Herbs and Spices,Vegetables
Russian Cabbage Pie,Milk and milk products,Vegetables,Herbs and Spices,Baking goods
Russian Poppy Seed Roll,Fruits,Baking goods,Milk and milk products,Confectioneries,Nuts,Beverages
Russian Pork Roast,Herbs and Spices,Baking goods,Baking goods
Russian Doughnuts,Milk and milk products,Baking goods
Beef Stroganoff III,Baking goods,Vegetables,Milk and milk products,Baking goods,Milk and milk products,Beverages,Baking goods,Vegetables
Russian Tea Cakes I,Milk and milk products,Herbs and Spices,Nuts
Stuffed Cabbage Rolls,Beverages,Cereals and cereal products,Vegetables,Baking goods,Vegetables
Russian Mushroom and Potato Soup,Milk and milk products,Vegetables,Vegetables,Herbs and Spices,Baking goods,Vegetables,Vegetables,Herbs and Spices
Sweet Russian Cabbage Soup,Vegetables,Baking goods,Vegetables,Beverages,Herbs and Spices,Vegetables
Russian Cabbage Borscht,Vegetables,Beverages,Milk and milk products,Baking goods,Vegetables,Vegetables,Vegetables,Herbs and Spices,Confectioneries,Milk and milk products
Russian Black Bread,Beverages,Baking goods,Fats and oils,Cocoa and cocoa products,Coffee and coffee products
Halupki (Stuffed Cabbage),Vegetables,Beverages,Baking goods,Cereals and cereal products,Herbs and Spices,Baking goods,Vegetables,Baking goods
Taylor's Piroshki,Baking goods,Vegetables,Herbs and Spices,Beverages,Baking goods
Beef Stroganoff with Noodles,Baking goods,Milk and milk products,Beverages,Milk and milk products
Chicken Kiev,Milk and milk products,Vegetables,Animal foods,Beverages,Herbs and Spices,Fruits,Herbs and Spices
Russian Green Bean and Potato Soup,Vegetables,Pulses,Milk and milk products,Herbs and Spices,Vegetables
Nana's Beef Stroganoff,Baking goods,Milk and milk products,Herbs and Spices,Milk and milk products,Milk and milk products,Beverages
Orange Drop Cookies II,Baking goods,Milk and milk products
Mitzie's Beef Stroganoff,Baking goods,Vegetables,Milk and milk products,Herbs and Spices,Baking goods,Milk and milk products
Borscht I,Beverages,Baking goods,Vegetables,Vegetables,Vegetables,Milk and milk products,Vegetables,Milk and milk products,Vegetables,Herbs and Spices,Vegetables,Baking goods
Traditional Russian Pirozhki,Milk and milk products,Baking goods,Milk and milk products,Vegetables
Russian Pancakes - Blini,Baking goods,Milk and milk products
Ukrainian Apple Cake (Yabluchnyk),Baking goods,Milk and milk products,Milk and milk products,Fruits,Milk and milk products,Herbs and Spices
Chilled Russian Salad Dressing,Herbs and Spices,Herbs and Spices,Dishes,Baking goods
Beef and Beet Borscht,Beverages,Vegetables,Vegetables,Baking goods,Milk and milk products,Herbs and Spices
Pierogi I,Milk and milk products,Baking goods,Beverages,Vegetables
Russian Beet and Potato Salad,Vegetables,Vegetables,Baking goods,Baking goods
Blini (Russian Pancakes),Baking goods,Beverages,Milk and milk products
Russian Eggplant,Vegetables,Fruits,Beverages,Milk and milk products,Herbs and Spices,Baking goods,Vegetables
Russian Style Creamy Salad Dressing,Milk and milk products,Baking goods,Baking goods,Milk and milk products,Herbs and Spices
Potato and Cheese Filling for Pierogi,Vegetables
"Beet, Walnut and Prune Salad",Nuts,Herbs and Spices,Baking goods
Russian Potato Salad,Vegetables,Animal foods,Baking goods
Guluptsie (Cabbage Rolls),Vegetables,Herbs and Spices,Cereals and cereal products,Herbs and Spices,Baking goods
Kartoshnik with Cheese and Onions,Vegetables,Milk and milk products,Baking goods,Milk and milk products,Milk and milk products,Milk and milk products
Solianka or Russian Beef Soup,Beverages,Milk and milk products,Vegetables,Herbs and Spices,Herbs and Spices,Baking goods,Vegetables
Ukha (Russian Fish Soup),Beverages,Vegetables,Herbs and Spices,Fruits
Eggplant Appetizer,Vegetables,Vegetables,Baking goods,Beverages
Russian Salmon and Potato Salad,Vegetables,Herbs and Spices,Herbs and Spices
Russian Beet Salad with Herring,Vegetables,Vegetables
Russian Vegetable Pie,Baking goods,Milk and milk products,Milk and milk products,Vegetables,Herbs and Spices,Milk and milk products,Herbs and Spices
